keyword,topic_cluster,search_volume,kd,intent,click_potential_ctr,business_potential,priority_score,backlink_requirements_rd,estimated_time_to_rank,cpc,potential_monthly_traffic,potential_monthly_seo_value,run_rate_traffic_3m,run_rate_seo_value_3m,run_rate_traffic_6m,run_rate_seo_value_6m,run_rate_traffic_12m,run_rate_seo_value_12m,cumulative_traffic_3m,cumulative_seo_value_3m,cumulative_traffic_6m,cumulative_seo_value_6m,cumulative_traffic_12m,cumulative_seo_value_12m,status,wordpress_url,recommended_title
generative engine optimization tools,Cluster 2: AI Content & SEO Automation,280,12,informational,0.35,3,6.8,16,1-3 months,8.5,98,833.0,88,748.0,98,833.0,98,833.0,171,1453.5,465,3952.5,1053,8950.5,planned,,Top Generative Engine Optimization Tools for Modern GEO Strategy
ai copywriting workflow automation,Cluster 2: AI Content & SEO Automation,180,10,commercial,0.25,3,7.6,13,1-3 months,6.5,45,292.5,40,260.0,45,292.5,45,292.5,78,507.0,213,1384.5,483,3139.5,planned,,AI Copywriting Workflow Automation: Save Hours of Draft Tweaking
ai campaign planning,Cluster 3: AI Campaign Planning,1500,26,commercial,0.25,3,8.1,34,3-6 months,11.0,375,4125.0,75,825.0,356,3916.0,375,4125.0,94,1034.0,938,10318.0,3188,35068.0,planned,,AI Campaign Planning: The Ultimate Guide to Autonomous Strategies
how to use ai campaign planning,Cluster 3: AI Campaign Planning,1200,20,informational,0.35,3,7.8,26,1-3 months,5.5,420,2310.0,252,1386.0,420,2310.0,420,2310.0,357,1963.5,1575,8662.5,4095,22522.5,planned,,How to Use AI Campaign Planning to Orchestrate Multi-Channel Growth
ai campaign planning software,Cluster 3: AI Campaign Planning,750,30,commercial,0.25,3,7.6,39,3-6 months,12.0,188,2256.0,38,456.0,179,2148.0,188,2256.0,47,564.0,470,5640.0,1598,19176.0,planned,,Comparing AI Campaign Planning Software: What B2B Teams Need
best ai campaign planning,Cluster 3: AI Campaign Planning,550,25,commercial,0.25,3,7.6,32,3-6 months,11.5,138,1587.0,28,322.0,131,1506.5,138,1587.0,35,402.5,345,3967.5,1173,13489.5,planned,,Best AI Campaign Planning Tools: Core Features and Integrations
autonomous campaign execution,Cluster 3: AI Campaign Planning,200,14,commercial,0.25,3,7.6,18,1-3 months,10.0,50,500.0,30,300.0,50,500.0,50,500.0,42,420.0,187,1870.0,487,4870.0,planned,,Autonomous Campaign Execution: Bridging the Gap from Plan to Launch
jasper pricing alternatives,Cluster 4: Competitor Alternatives,1800,38,transactional,0.25,2,7.0,49,3-6 months,14.0,450,6300.0,22,308.0,360,5040.0,450,6300.0,22,308.0,697,9758.0,3375,47250.0,planned,,Jasper Pricing Alternatives: Find More Value in AI Copywriting
jasper pricing,Cluster 4: Competitor Alternatives,1100,32,transactional,0.25,2,7.0,42,3-6 months,12.5,275,3437.5,275,3437.5,275,3437.5,275,3437.5,770,9625.0,1595,19937.5,3245,40562.5,published,https://blog.meetlyra.app/jasper-pricing/,Jasper Pricing Breakdowns: Is the Industry Standard Worth the Cost?
copy ai pricing alternatives,Cluster 4: Competitor Alternatives,950,28,transactional,0.25,2,6.5,36,3-6 months,11.0,238,2618.0,12,132.0,190,2090.0,238,2618.0,12,132.0,369,4059.0,1785,19635.0,planned,,Copy AI Pricing and Alternatives: Finding the Best Content Engine
writesonic vs jasper,Cluster 4: Competitor Alternatives,1400,35,commercial,0.25,2,3.6,46,3-6 months,13.5,350,4725.0,18,243.0,280,3780.0,350,4725.0,18,243.0,543,7330.5,2625,35437.5,planned,,Writesonic vs Jasper: Deep Dive Comparison for B2B Copywriting
best surferseo alternatives,Cluster 4: Competitor Alternatives,650,25,commercial,0.25,2,6.1,32,3-6 months,9.0,162,1458.0,8,72.0,130,1170.0,162,1458.0,8,72.0,251,2259.0,1215,10935.0,planned,,Best SurferSEO Alternatives: Get Better SEO Content Results
hubspot marketing hub alternatives,Cluster 4: Competitor Alternatives,500,42,commercial,0.25,2,5.7,55,6-8 months,18.0,125,2250.0,0,0.0,31,558.0,125,2250.0,0,0.0,43,774.0,686,12348.0,planned,,HubSpot Marketing Hub Alternatives for Modern Agile Startups
marketing automation for startups,Cluster 5: Marketing Automation & AI Integration,1600,35,commercial,0.25,2,6.6,46,3-6 months,12.0,400,4800.0,20,240.0,320,3840.0,400,4800.0,20,240.0,620,7440.0,3000,36000.0,planned,,Marketing Automation for Startups: Practical Guide to Scale Fast
zapier marketing automation workflows,Cluster 5: Marketing Automation & AI Integration,800,28,commercial,0.25,2,6.1,36,3-6 months,10.0,200,2000.0,10,100.0,160,1600.0,200,2000.0,10,100.0,310,3100.0,1500,15000.0,planned,,Essential Zapier Marketing Automation Workflows for High-Growth Teams
autonomous agent,Cluster 5: Marketing Automation & AI Integration,900,45,informational,0.35,1,3.4,58,6-8 months,4.5,315,1417.5,0,0.0,79,355.5,315,1417.5,0,0.0,111,499.5,1734,7803.0,planned,,What is an Autonomous Agent? Definition and Real-world Uses
topic clustering tips,Cluster 5: Marketing Automation & AI Integration,500,20,informational,0.35,1,4.3,26,1-3 months,3.0,175,525.0,44,132.0,175,525.0,175,525.0,44,132.0,482,1446.0,1532,4596.0,planned,,Advanced Topic Clustering Tips: Structuring Your Site for SEO
seo keyword research,Cluster 5: Marketing Automation & AI Integration,750,50,informational,0.35,1,3.4,65,6-8 months,6.0,262,1572.0,0,0.0,66,396.0,262,1572.0,0,0.0,92,552.0,1441,8646.0,planned,,SEO Keyword Research: How to Find the Opportunities Competitors Miss
